text,label
寒战、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
我肚子疼得厉害，感觉真不舒服。我也在发烧。我担心我可能得了伤寒。,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、腹痛、腹泻、伤寒、腹痛,0
寒战、呕吐、乏力、高烧、头痛、恶心、便秘、腹痛、腹泻、中毒（伤寒）,0
寒战、呕吐、乏力、高烧、恶心、便秘、腹痛、腹泻、伤寒、腹痛,0
在过去的几天里，我一直胃痛和便秘。我也没有食欲，感觉很虚弱。,0
寒战、呕吐、乏力、高烧、头痛、便秘、腹痛、腹泻、伤寒、腹痛,0
我已经便秘和腹痛几天了。腹痛越来越严重，开始影响我的日常生活。我每天晚上也会发冷，然后轻微发烧。,0
我已经有几天便秘和腹痛了。疼痛越来越严重，这真的影响了我的日常生活。我也感到很累很虚弱。,0
我已经拉肚子好几天了。我有稀便和水样大便，而且我必须经常去洗手间。我也感到恶心，食欲不振。我也有点发烧。,0
在过去的几天里，我有严重的胃痛和便秘。我每天晚上还会头疼和发冷。,0
我已经拉肚子好几天了。真的很不舒服，来来去去。我也有胃痛和呕吐。,0
在过去的一周里，我一直胃痛。即使药物治疗也没有好转。我想吐，什么都吃不下。我已经变得很虚弱了。,0
我已经呕吐和拉肚子好几天了。我也一直在发烧、便秘和头痛。我很难保持水分。,0
这几天我一直在发高烧。晚上尤其糟糕。我也有轻微的头痛，一直便秘和腹泻。,0
我一直上不了厕所，肚子一直疼。我昨晚也发烧了。,0
我肚子疼，还发烧。我也发冷和头痛。,0
这几天我一直拉肚子。真的很糟糕，还伴有腹部绞痛和腹胀。,0
