,text,label
0,我一直有偏头痛和头痛。我睡不着。我全身都在颤抖。我有时会头晕。,308.0
1,我有哮喘，我有喘息和呼吸问题。我还发烧，头痛，而且一直觉得累。,35.0
2,原发性卵巢功能不全的体征和症状与绝经或雌激素缺乏相似。它们包括：月经不规律或跳过，可能存在多年，或在怀孕后或停用避孕药后出现怀孕困难潮热盗汗阴道干燥干眼症易怒或注意力难以集中性欲下降何时去看医疗保健提供者如果你已经错过月经三个月或更长时间，请去看医疗保健提供者以确定原因。你可能会因为很多原因错过月经——包括怀孕、压力、饮食或锻炼习惯的改变——但最好在月经周期改变时进行评估。即使你不介意没有月经，建议你去看你的医生，找出是什么导致了这种变化。雌激素水平低会导致骨质流失和心脏病风险增加。,798.0
3,咳嗽，高烧，呼吸困难，家族史，粘液痰,149.0
4,寒战、呕吐、高烧、出汗、头痛、恶心、腹泻、肌肉疼痛,596.0
5,后部皮质萎缩症状因人而异。症状也会随着时间的推移而变化。它们往往会逐渐恶化。常见的症状包括在阅读、拼写或数学方面有困难。开车。穿衣服。区分运动的物体和静止的物体。判断物体有多远。使用日常物品或工具。从左到右辨别。其他常见症状包括：焦虑。迷茫。行为和性格的改变。记忆问题可能会在疾病后期出现。原因后部皮质萎缩最常见的原因是一种不典型的阿尔茨海默病。它会影响大脑的后部。其他不太常见的原因包括皮质基底节变性、路易体痴呆和克雅氏病。研究人员正在寻找可能与这种情况有关的潜在基因变异。危险因素需要进一步的研究来确定阿尔茨海默病的危险因素是否可能在后部皮质萎缩中起作用。梅奥诊所员工梅奥诊所员工后皮质萎缩护理,785.0
6,我一直背痛，咳嗽，胳膊和腿麻木。我的脖子也疼，我一直感到头晕和失去平衡。,186.0
7,皮肤发黄、恶心、食欲不振、眼睛发黄、家族史,466.0
8,关节痛，颈痛，膝痛，髋关节痛，关节肿胀，行走疼痛,700.0
9,一种不寻常的感觉（先兆）可能先于颞叶癫痫发作，作为一种警告。不是每个颞叶癫痫发作的人都有先兆，也不是每个有先兆的人都记得。先兆实际上是意识受损前局灶性癫痫发作的第一部分。先兆的例子包括：突然无端的恐惧或喜悦感似曾相识的体验——一种在腹部突然或奇怪的气味或味道上升之前发生了什么的感觉，类似于坐过山车有时颞叶癫痫会损害你对他人做出反应的能力。这种类型的颞叶癫痫发作通常持续30秒至2分钟。典型的体征和症状包括：对周围环境失去意识盯着看嘴唇咂嘴反复吞咽或咀嚼不寻常的手指运动，如颞叶癫痫发作后的抓取运动，你可能会有：一段时间的混乱和说话困难无法回忆起癫痫发作期间发生的事情没有意识到已经癫痫发作极度嗜睡在极端情况下，颞叶癫痫发作开始演变为全身性强直阵挛性（大发作）癫痫发作——以抽搐和意识丧失为特征。,971.0
10,呕吐、皮肤发黄、腹痛、胃胀、腹胀、饮酒史、液体超载,33.0
11,呕吐、疲劳、焦虑、出汗、头痛、恶心、过度饥饿、嘴唇干燥和刺痛、口齿不清、易怒、心悸,504.0
12,疲劳、情绪波动、体重减轻、坐立不安、出汗、腹泻、过度饥饿、肌肉无力、易怒、月经异常,502.0
13,关节痛、呕吐、皮肤发黄、尿黑、恶心、食欲不振、腹痛、腹泻、轻度发热、眼睛发黄、肌肉疼痛,464.0
14,皮疹、寒战、关节痛、呕吐、疲劳、高烧、头痛、恶心、食欲不振、眼后疼痛、背痛、不适、肌肉疼痛、全身红斑,275.0
15,瘙痒、呕吐、皮肤发黄、恶心、食欲不振、腹痛、眼睛发黄,207.0
