text,label
I have been having migraines and headaches. I can't sleep. My whole body is shaking and shivering. I feel dizzy sometimes.,308
"I have asthma and I get wheezing and breathing problems. I also have fevers, headaches, and I feel tired all the time.",35
"Signs and symptoms of primary ovarian insufficiency are similar to those of menopause or estrogen deficiency. They include:  Irregular or skipped periods, which might be present for years or develop after a pregnancy or after stopping birth control pills Difficulty getting pregnant Hot flashes Night sweats Vaginal dryness Dry eyes Irritability or difficulty concentrating Decreased sexual desire  When to see a health care provider If you've missed your period for three months or more, see your health care provider to determine the cause. You can miss your period for a number of reasons — including pregnancy, stress, or a change in diet or exercise habits — but it's best to get evaluated whenever your menstrual cycle changes. Even if you don't mind not having periods, it's advisable to see your provider to find out what's causing the change. Low estrogen levels can lead to bone loss and an increased risk of heart disease.",798
"cough,high_fever,breathlessness,family_history,mucoid_sputum",149
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",596
"Posterior cortical atrophy symptoms vary among people. Symptoms also can vary over time. They tend to gradually get worse. Common symptoms include having trouble with:  Reading, spelling or math. Driving. Getting dressed. Telling the difference between objects that are moving and those that are still. Judging how far away objects are. Using everyday objects or tools. Identifying left from right.  Other common symptoms include:  Anxiety. Confusion. Changes in behavior and personality.  Memory problems may occur later in the disease. Causes The most common cause of posterior cortical atrophy is a form of Alzheimer's disease that's not typical. It affects the back of the brain. Other less common causes include corticobasal degeneration, Lewy body dementia and Creutzfeldt-Jakob disease. Researchers are looking at potential gene variations that may be related to the condition. Risk factors Further study is needed to determine whether the risk factors for Alzheimer's disease may play a role in posterior cortical atrophy.                  By Mayo Clinic Staff By Mayo Clinic Staff  Posterior cortical atrophy care at Mayo Clinic ",785
"I've been having back pain, a cough, and numbness in my arms and legs. My neck hurts too, and I've been feeling dizzy and off balance.",186
"yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",466
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",700
"An unusual sensation (aura) may precede a temporal lobe seizure, acting as a warning. Not everyone who has temporal lobe seizures has auras, and not everyone who has auras remembers them. The aura is actually the first part of a focal seizure before consciousness is impaired. Examples of auras include:  A sudden sense of unprovoked fear or joy A deja vu experience — a feeling that what's happening has happened before A sudden or strange odor or taste A rising sensation in the abdomen, similar to being on a roller coaster  Sometimes temporal lobe seizures impair your ability to respond to others. This type of temporal lobe seizure usually lasts 30 seconds to two minutes. Characteristic signs and symptoms include:  Loss of awareness of surroundings Staring Lip smacking Repeated swallowing or chewing Unusual finger movements, such as picking motions  After a temporal lobe seizure, you may have:  A period of confusion and difficulty speaking Inability to recall what occurred during the seizure Unawareness of having had a seizure Extreme sleepiness  In extreme cases, what starts as a temporal lobe seizure evolves into a generalized tonic-clonic (grand mal) seizure — featuring convulsions and loss of consciousness.",971
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",33
"vomiting,fatigue,anxiety,sweating,headache,nausea,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",504
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",502
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain",464
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",275
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",207
"You might develop signs and symptoms of an intracranial hematoma right after a head injury, or they may take weeks or longer to appear. You might seem fine after a head injury. This period is called the lucid interval. Over time, pressure on your brain increases, producing some or all of the following signs and symptoms:  Headache that gets worse Vomiting Drowsiness and progressive loss of consciousness Dizziness Confusion Unequal pupil size Slurred speech Loss of movement (paralysis) on the opposite side of the body from the head injury  As more blood fills your brain or the narrow space between your brain and skull, other signs and symptoms may appear, such as:  Lethargy Seizures Unconsciousness ",533
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",72
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",1019
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",149
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"vomiting,breathlessness,sweating,chest_pain",447
I've been feeling really run down lately. I've been having a lot of trouble breathing and my nose is constantly running. I also have a lot of throat mucus and my lymph nodes are inflamed.,234
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze",515
I have been having a lot of pain in my joints and muscles. My neck is stiff and I have a hard time moving around. I also have a lot of pain when I try to steer my car.,72
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching",735
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances",630
"Signs and symptoms of myofascial pain syndrome may include:  Deep, aching pain in a muscle Pain that persists or worsens A tender knot in a muscle Difficulty sleeping due to pain ",665
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking",72
"skin_rash,pus_filled_pimples,blackheads,scurring",7
"skin_rash,stomach_pain,burning_micturition,spotting__urination",308
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",193
"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history",466
"           Cystic acne       Open pop-up dialog box          Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.               Cystic acne       Open pop-up dialog box           Cystic acne       Open pop-up dialog box  Open pop-up dialog box       Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.          Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.        Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.     Close    Close  Close Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.  Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Acne signs vary depending on the severity of your condition:  Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red, tender bumps (papules) Pimples (pustules), which are papules with pus at their tips  Large, solid, painful lumps under the skin (nodules) Painful, pus-filled lumps under the skin (cystic lesions)  Acne usually appears on the face, forehead, chest, upper back and shoulders.",7
"fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history",466
